IncidentID,ShortDescription,Description,Priority,State,Category,Subcategory,AssignmentGroup,AssignedTo,OpenedDate,ResolvedDate,ResolutionNotes
INC0001,Password reset not working for SAP,"User reports password reset link for SAP system returns an error. Self-service portal shows 'account locked' but AD shows active.",2,Open,Access Management,Password Reset,IAM Support,John Smith,2025-11-01,,
INC0002,Delegation setup fails for manager approval,"Manager cannot configure delegation for approval workflows. System shows 'insufficient privileges' when attempting to set up a delegate.",3,Open,Access Management,Delegation,IAM Support,Jane Doe,2025-11-03,,
INC0003,New hire missing standard entitlements,"New employee in Finance department did not receive standard entitlements during onboarding. Joiner provisioning workflow completed but access bundle was empty.",2,Open,Provisioning,Joiner,Provisioning Team,Mike Brown,2025-11-05,,
INC0004,Departed user still has active access,"Terminated employee still showing active entitlements 30 days after departure. Leaver workflow did not trigger deprovisioning for cloud applications.",1,Open,Deprovisioning,Leaver,Provisioning Team,Sarah Wilson,2025-11-06,,
INC0005,SoD violation not flagged during certification,"Separation of Duties conflict between AP Clerk and AP Manager roles was not detected during last certification campaign. User holds both conflicting entitlements.",1,Open,Compliance,SoD Violation,Compliance Team,David Lee,2025-11-08,,
INC0006,Certification campaign stuck in progress,"Q4 access certification campaign shows 90% complete but has been stuck for 2 weeks. Remaining reviewers report they cannot see their review tasks.",2,Open,Compliance,Certification,IAM Support,Emily Chen,2025-11-10,,
INC0007,Role mining results inconsistent,"Role mining analysis produces different results each run for the same department. Entitlement clustering does not converge to stable role definitions.",3,Open,Role Management,Role Mining,IAM Engineering,Tom Garcia,2025-11-12,,
INC0008,Access request pending for 10 days,"Entitlement request REQ-2025-0892 has been in pending state for 10 business days. Approval workflow appears stalled at second-level manager approval.",2,Open,Access Management,Access Request,IAM Support,Lisa Wang,2025-11-14,,
INC0009,Bulk provisioning failed for department transfer,"Bulk transfer of 15 users from Sales to Marketing department failed midway. 8 users have mixed old and new entitlements creating an inconsistent state.",1,Open,Provisioning,Mover,Provisioning Team,Chris Taylor,2025-11-15,,
INC0010,Orphan accounts detected in Azure AD,"Monthly reconciliation found 47 orphan accounts in Azure AD with no matching HR record. Accounts have active entitlements but no identifiable owner.",2,Open,Compliance,Reconciliation,IAM Support,Amy Martinez,2025-11-18,,
INC0011,Emergency access not revoked after use,"Break-glass access granted for production incident INC-9921 was not automatically revoked after the 24-hour window. User still has elevated privileges.",1,Open,Access Management,Emergency Access,IAM Support,Robert Kim,2025-11-20,,
INC0012,Entitlement description missing for 200+ resources,"Audit finding: over 200 resource entitlements have blank or generic descriptions making certification reviews ineffective. Reviewers cannot make informed decisions.",3,Open,Compliance,Data Quality,IAM Engineering,Nancy White,2025-11-22,,
